nama;harga;lokasi;toko;rating;terjual
LAPTOP GAMING HP VICTUS 15 BLACK AMD RYZEN 5 7535HS RAM 32GB SSD 1TB;Rp9.199.000;Tangerang Selatan;Super Store Laptop;5.0;4 terjual
Laptop Gaming Asus Tuf F15 FX507ZC Intel i7 12700H 32GB RAM 2TB SSD RTX 3050 4GB FHD IPS RGB;Rp13.899.000;Jakarta Pusat;Gadget LAPTOP.ID;;1 terjual
Laptop Gaming MSI THIN GF63 12UDX-601 i7-12650H 8G 512GB RTX2050;Rp10.849.000;Surabaya;Level99ID;5.0;6 terjual
LENOVO IdeaPad 3 14IAU7 82RJ00CXID Core i3 1215U 8GB 512GB W11 OHS;Rp6.565.000;Jakarta Pusat;Sukses IT;;
"Lenovo LOQ Gaming 15AHP9 38ID AMD Ryzen 7 8845HS Win11 8GB 512GB SSD NVIDIA RTX 4050 6GB 15.6"" FHD IPS 100% sRGB 144Hz Antiglare G-Sync OHS 4-Zone RGB Backlit Laptop 15inch 8000 Series Content Creator 83DX0038ID Luna Grey Garansi Resmi Windows Home Office";Rp18.599.000;Jakarta Pusat;InfoMikro;;
LENOVO LOQ 15APH9-37ID RTX4050 AMD Ryzen 5 8645HS 512GB SSD 8GB RAM Gaming Notebook Laptop;Rp16.450.000;Malang;GASOL DINOYO;;
Lenovo Ideapad/i5-1135G7/Intel Iris Xe/8Gb/SSD 512Gb NVMe/FHD/Win11Ori;Rp5.999.000;Malang;laptopssd;5.0;1 terjual
ASUS TUF Gaming F15 FX506HF I5-11400H/ 4GB RTX2050/ 8GB 512GB 15.6FHD ;Rp11.145.000;Jakarta Utara;Shinecom119;;
Lenovo ideapad Slim 3 15IHR8 i5 13420H 8GB 512GB 15'6 Anti Glare;Rp8.199.999;Jakarta Utara;JayaComp8;;
Acer Nitro V ANV15-51-5115 | Core i5 13420H-8GB-SSD 512GB-RTX4050 6GB;Rp14.144.000;Yogyakarta;allshop-yk;;
ASUS ROG G531GV I7-9750h 8GB 512GB ssd RTX2060 6GB 15inch fhd WIN 10;Rp25.100.000;Jakarta Barat;Gm-comp;;1 terjual
"Laptop Gaming Acer Nitro V Core i5 - 8GB - 512GB SSD - VGA 6GB - 15.6""";Rp15.099.000;Surabaya;Anugrahpratamacom;;
ASUS ROG G713RC-R735B6G-O RYZEN 7-6800H 8GB 512GB RTX3050 W11 OHS;Rp18.099.000;Jakarta Pusat;FIRE TECH;;1 terjual
ADVAN Laptop Gaming Pixelwar AMD RYZEN 5 6600H 16” 2.5K IPS 16GB 512GB;Rp9.589.000;Kab. Tangerang;Advan Official IT Store;4.8;100+ terjual
Laptop Gaming Lenovo Thinkpad T470P Core i7 RAM 32GB SSD 512 Nvidia;Rp4.499.000;Jakarta Barat;Specialist Laptop Second;4.9;22 terjual
Laptop Gaming Axioo Pongo 725 Intel i7 Gen 12 16Gb Rtx 2050 Black;Rp10.799.000;Bandung;Klik Galery;5.0;6 terjual
Laptop Gaming Lenovo LOQ Core i5 13420H RTX3050 Ram 32gb DDR5 2tb ssd;Rp13.299.000;Jakarta Pusat;Jaya Laptop. id;;
Laptop Gaming Alienware M16 R1 Rtx 4070 i7 13700HX Ram 32GB 2TB Ssd ;Rp29.499.000;Tangerang Selatan;Super Store Laptop;;
Asus Gaming ROG Strix G531GD, Core i5-9300H, Ram 8/512Gb, RGB;Rp9.350.000;Jakarta Timur;ElektronikMediaComputer (Toko Emco);;
Laptop Second Acer Nitro 5 Core i5-11300H Ram 8gb SSD 512gb GTX 1650;Rp8.500.000;Bandung;AM LAPTOPS BANDUNG;;
"Lenovo Ideapad Slim 14IGL7 N4020 8GB 512GB SSD Wifi 6 14"" Win 11 + OHS";Rp3.864.583;Surabaya;Kotakom Official;5.0;4 terjual
ASUS ROG G531GU-I766H1T - i7-9750H 8Gb 512Gb GTX1660Ti 6Gb 15.6 FHD Wi;Rp21.150.000;Jakarta Barat;XTen Computindo;5.0;1 terjual
Lenovo IdeaPad Gaming 3 15ACH6 Ryzen 5-5500H/8GB/512GB/RTX20504GB/W11;Rp9.999.000;Jakarta Pusat;LKPP Vendor;;
ASUS ROG G713IE-R7R5B7T-O11 R7-4800H/RTX3050Ti_V4G/8GB*2/512GB/144Hz;Rp19.539.000;Jakarta Pusat;Anekateknikkomindo;5.0;1 terjual
Acer Nitro V ANV15-51-5115 i5-13420H/8GB/512GB/RTX4050/15.6/144HZ/FHD;Rp14.999.000;Kab. Bogor;IT Galeri Cibinong City Mall;;
ACER Predator Helios Neo 16 PHN16 71 55MQ i5-13500HX 8GB/512GB|Win11;Rp16.999.000;Bandung;MediaTouch Compushop;;
Promo ASUS ROG Strix G G513QC Ryzen 5-5600H RTX 3050 144Hz 8GB 512GB;Rp10.990.000;Jakarta Pusat;Shop dedi;;
"LENOVO IdeaPad Flex 5 14IRU8 i3-1315U 8GB 512GB 14"" TOUCH X360 W11 OHS";Rp9.989.000;Jakarta Pusat;Collins Official;5.0;12 terjual
Laptop Gaming HP VICTUS 15 2023 Ryzen 5  MICA SILVER;Rp10.199.000;Bandung;Klik Galery;5.0;3 terjual
LAPTOP GAMING AXIOO PONGO 725 INTEL I7 12650H 16GB 1TB RTX 2050 144HZ;Rp10.999.000;Tangerang Selatan;Super Store Laptop;5.0;11 terjual
"Laptop Gaming MSI GF63 11UC 1204 i5-11400H 8GB/512GBRTX3050/15.6""FHD";Rp9.899.000;Surabaya;Level99ID;5.0;2 terjual
"Laptop Gaming HP 245 G10 Ryzen 5 7520U 8GB 512GB SSD 14"" WXGA Win11 - Ryzen 3|256GB, Unit Standar";Rp5.299.000;Bandung;Eksklusif Komputer;;
Laptop Gaming Acer Swift 3 SF314 Core Evo I7 Ram 16GB 1TB Ssd Silver;Rp8.099.000;Jakarta Pusat;Jaya Laptop. id;5.0;1 terjual
Laptop Gaming Lenovo V14 G4 Amd Ryzen 5 7520U Ram 8gb ddr5 512gb ssd;Rp9.453.740;Jakarta Barat;Naoki Mall;;
LENOVO IDEAPAD SLIM 3 14AMN8 3LID GREY AMD RYZEN 3-7320U 8GB 512GB W11;Rp6.415.000;Surabaya;ExpoComp;5.0;3 terjual
Lenovo Ideapad Slim 3 14 I5 12450H 8GB 512GB W11+OHS 14.0 - 06ID;Rp8.379.000;Surabaya;Laptop ONE ITC SBY;5.0;1 terjual
"LAPTOP LENOVO IDEAPAD S145-14IKB i5-1035G1 8GB 512GB SSD 14"" W10 + OHS";Rp9.688.000;Jakarta Pusat;HOSANA COMPUTER;4.8;19 terjual
Acer Nitro V 15 ANV15-51-5115|i5-13420H|8GB|512GB SSD|RTX4050 6GB;Rp14.504.000;Jakarta Pusat;claras tore;;
Lenovo IDEAPAD GAMING 3 RTX 4050 AMD Ryzen 5 7535HS 8GB 512GB Win 11 OHS 2021 Laptop Gaming;Rp13.999.000;Semarang;Limitless Computer;;
Acer Nitro ANV 15 Intel Core i5 13420H RAM 8GB SSD 512GB RTX 2050 4GB;Rp9.999.999;Yogyakarta;Honey Laptop YK;;
LENOVO LOQ Gaming 15APH8 82XT009LID Ryzen 5 7640HS 8GB 512GB 3050 W11;Rp13.856.666;Banjarmasin;mselectronicstore;;
Laptop Gaming Asus TUF FX505DD Ryzen 5 3550H 8GB SSD 512GB GTX 1050;Rp7.309.000;Bandung;PusatSparepart LaptopNew;;
ACER NITRO 5 AN515 RTX3050 4GB/ I5 12500H 8GB 512SSD W11+OHS 15.6FHD;Rp12.149.000;Bekasi;Astek Com Bekasi (GAMER.ID BCP);5.0;1 terjual
Laptop 2nd Lenovo Legion Y7000 Core i5-9300H Ram 8GB 512GB GTX 1650;Rp8.109.000;Bandung;PusatSparepart LaptopNew;;
HP Pavilion Gaming 15-DK1064TX Core i5-10300H 8GB 512GB RTX 2060 6GB;Rp9.390.000;Jakarta Utara;pedaganglaptop;;
HP VICTUS 15 RTX 2050 AMD Ryzen 5 7535HS 8GB 512GB Win 11 OHS 2021 Laptop Gaming;Rp10.899.000;Semarang;Limitless Computer;;
"Lenovo IdeaPad Flex 5 14ABR8 RYZEN 3-7330U 8GB 512GB 14"" TOUCH OHS W11";Rp9.599.000;Jakarta Pusat;Protech Computer;5.0;21 terjual
PROMO Acer Nitro V 15 I5 13420H Rtx4050 8GB 512GB SSD W11+OHS;Rp9.750.000;Jakarta Pusat;LAPTOP GADGET ID.;;1 terjual
LAPTOP GAMING ASUS TUF FX506DY RYZEN 5 RAM 8/512GB SSD RADEON RX 506X;Rp7.500.000;Surakarta;Flatyvus;;
ACER Predator Helios Neo 16 PHN16 71 55MQ i5 13500HX 8GB 512GB 4050;Rp16.999.000;Denpasar;Heteroku_com;;
ASUS TUF F15 GAMING FX507ZC4-I535B1M-O RTX3050 i5 12500H 8GB 512GB RAM;Rp13.268.000;Malang;GASOL SUMBERSARI;;
ACER NITRO V 15 I5 13420H RTX2050 4GB/ 8GB 512GB W11+OHS 15.6FHD 144HZ;Rp11.200.000;Jakarta Pusat;Citycom Harco;;
Acer Nitro V 15-ANV15 Intel Core i5-13420H 8GB/512GB SSD RTX2050 15'' ;Rp10.899.000;Jakarta Pusat;ZX'computer;;
"ACER ASPIRE 7 GAMING/INTEL CORE I5/SSD 512GB/RAM 4/8GB/14""/WIN 11 +OHS";Rp11.200.000;Surabaya;JOSSGANDOSMARINA;;
DELL GAMING G15 5535 RYZEN 7 7840 RTX4060 8GB/ 16GB 512GB W11 15.6FHD IPS;Rp17.199.000;Jakarta Utara;Deca Computer;;
ACER Nitro V15 ANV15-51-5115 RTX4050 Core i5-13420H 512GB SSD 8GB RAM;Rp14.674.000;Malang;GASOL DINOYO;;
Laptop Gaming MSI GF63 Core i5/12 Ram 8/512gb SSD Dual Vga Nvidia Rtx ;Rp10.000.000;Tangerang Selatan;MasterLaptopComputer;;
Promo Lenovo IdeaPad Gaming 3i Core i7-10750H GTX 1650Ti 8GB 512GB;Rp10.358.000;Surabaya;rijal ultra;;
LENOVO IDEAPAD SLIM 5i - i5 1135G7 8GB 512GB SSD IRIS XE WIN10 OHS IPS;Rp11.099.000;Jakarta Pusat;HOSANA COMPUTER;5.0;3 terjual
LAPTOP GAMING ASUS FA506IC-R735B6T-O/RYZEN 7-4800H/8GB/SSD 512/RTX3050;Rp14.855.887;Surabaya;gadget-center;5.0;1 terjual
"Lenovo Ideapad Slim 3 i5 12450H 8GB 512GB W11+OHS 14"" FHD IPS";Rp8.499.000;Jakarta Pusat;Lenovo Legion Official;4.8;30+ terjual
LENOVO IDEAPAD SLIM 3 14ABR8 07ID BLUE AMD RYZEN 7-7730U 8GB 512GB W11;Rp8.947.000;Surabaya;HotdealComp;;
ACER NITRO 5 i5 12500H 8GB SSD 512GB RTX3060 6GB;Rp14.050.000;Surabaya;usaha mandiri komputer;5.0;1 terjual
Laptop 2nd Lenovo IP L340 Gaming Core i5-9300HF 8GB SSD 512GB GTX 1050;Rp6.920.000;Bandung;PusatSparepart LaptopNew;;
ACER NITRO 5 AN515-58-55E6 Ci5-12500H/8GB DDR4/512GB SSD/NVIDIA GEFORC;Rp12.200.000;Jakarta Pusat;Citycom Harco;;
Lenovo l340 core i5 9300 H gaming, GTX 1050 , SSD 512 Gb;Rp7.000.000;Kab. Bekasi;RMC-Store;;
Lenovo Gaming LOQ 8JiD i7-13620H|8GB|512GB|RTX 4050|Win 11 Home+Office;Rp17.150.000;Jakarta Pusat;YouTech;;
"LENOVO IDEAPAD SLIM 5 - RYZEN 5 7530U 8GB 512SSD 14"" WUXGA IPS W11 OHS";Rp9.149.000;Jakarta Pusat;HOSANA COMPUTER;5.0;100+ terjual
Laptop gaming Lenovo ideapad slim 3 intel i3 1115G4 20GB 1TB FHD WIN11;Rp3.899.000;Jakarta Selatan;GARUDA LAPTOP.ID;5.0;2 terjual
"Laptop Gaming HP 15 Amd Ryzen 5 7520U 8GB 1TB SSD 15"" FHD Win11 - 256GB SSD, Unit Standar";Rp5.799.000;Bandung;Eksklusif Komputer;;
GAMING THINKPAD T495 RIZEN 5 PRO 3500u/ 16GB RAM/ 512GB SSD/ IPS - 8GB -128GB SSD;Rp4.500.000;;;5.0;3 terjual
GAMING THINKPAD T495 RIZEN 5 PRO 3500u/ 16GB RAM/ 512GB SSD/ MULUS - 8GB -128GB SSD;Rp4.500.000;;;5.0;6 terjual
GAMING THINKPAD T495 RIZEN 5 PRO 3500u/ 16GB RAM/ 512GB SSD/ FHD IPS - 8GB -128GB SSD;Rp3.950.000;;;5.0;4 terjual
Lenovo LOQ Gaming i5-12450HX RTX3050 512GB SSD 12GB Win11+OHS;Rp12.799.000;Jakarta Barat;Sinarmulia Sukses Makmur;5.0;100+ terjual
Laptop Lenovo IdeaPad Slim 3i i3-1215U 256GB SSD 8GB WIN11+OHS;Rp6.099.000;Tangerang;Lenovo Authorized Tangerang;5.0;1rb+ terjual
Lenovo LOQ Gaming i5-12450HX 512GB SSD 8GB ARC A530M 144Hz IPS Win11;Rp11.999.000;Jakarta Barat;Lenovo Authorized Jakarta Barat;;
Lenovo Ideapad Gaming 3 Ryzen 5 5500H RTX2050 4GB 8GB 512SSD W11 144Hz;Rp9.999.000;Jakarta Pusat;Lenovo Legion Official;4.9;1rb+ terjual
ADVAN Laptop Gaming Pixelwar AMD RYZEN 5 6600H 16” 2.5K IPS 16GB 512GB;Rp9.700.499;Kab. Tangerang;Advan Official Store;4.9;30+ terjual
MSI THIN 15 B13VE 1461ID RTX4050 Intel Core i5-13420H 512GB SSD 8GB RAM Gaming Notebook Laptop;Rp13.899.000;Malang;Gasol Kaliurang;;
Lenovo Ideapad Slim 3 14ARE Ryzen 5 4500 8GB 512ssd Vega6 W10+OHS 14.0;Rp7.629.000;Jakarta Utara;ProStoreComputer;5.0;13 terjual
Lenovo Gaming LOQ 10iD i7-13650HX|8GB|512GB|RTX3050|Win 11 Home+Office;Rp15.725.000;Jakarta Pusat;YouTech;;
ACER ASPIRE 7 GAMING A715-76G.54XS i5-12450H 8GB 512GB VGA 4GB W11H 2Y;Rp10.650.000;Jakarta Pusat;APT_Project;;
Laptop Gaming Editing Asus Vivobook M413DA AMD Ryzen 5 Ram 8/512Gb;Rp5.250.000;Bandung;R-07Store;;
Lenovo LOQ Gaming i7-13650HX RTX4050 512GB SSD 12GB 144Hz IPS Win11;Rp17.799.000;Jakarta Barat;Sinarmulia Sukses Makmur;5.0;9 terjual
"ASUS TUF GAMING F15 FX507ZC4 i5-12500H 8GB 16GB 512GB RTX3050 15.6""";Rp12.498.979;Jakarta Pusat;TeknoTrend;5.0;30+ terjual
Lenovo LOQ Gaming i5-12450HX 512GB SSD 8GB 100%sRGB 144Hz ARC A530M;Rp11.199.000;Jakarta Barat;Sinarmulia Sukses Makmur;5.0;10 terjual
Lenovo Ideapad Slim 1 14 N4020 8GB 512SSD DOS 14.0 1YR;Rp4.299.000;Jakarta Pusat;Lenovo Legion Official;5.0;60+ terjual
"LENOVO LOQ GAMING 15IRX9 i7-13650HX 512GB RTX3050 6GB 15.6"" OHS W11";Rp15.699.000;Jakarta Pusat;Protech Computer;5.0;11 terjual
LENOVO IDEAPAD GAMING 3 PTID - i5 11320H 8GB 512GB RTX2050 4GB W11 OHS;Rp10.614.000;Tangerang;GIGACOM-;;
Lenovo Ideapad Slim 3 14 Ryzen 7 5700 8GB 512ssd Vega8 W10+OHS 14.0FHD;Rp8.929.000;Jakarta Utara;Gaming Laptop ID;;
Laptop Lenovo ideapad 3 Slim 3 AMD Ryzen 5-5500U 8GB SSD 512GB IPS;Rp6.000.000;Bandung;backtolaptop BANDUNG;5.0;1 terjual
ASUS TUF GAMING A15 FA506NC RYZEN 5-7535HS 8GB 512GB RTX 3050 4GB W11;Rp12.249.000;Jakarta Pusat;aura technology;;
Acer Nitro V 15 ANV15-51-542G|i5-13420H|8GB|512GB SSD|RTX2050 4GB;Rp10.824.000;Jakarta Pusat;claras tore;;
LENOVO IDEAPAD SLIM 3 14ALC6 RYZEN 3 5300U 8Gb 512GB SSD FHD W10;Rp8.049.000;Jakarta Pusat;AMP TECH STORE;5.0;4 terjual
Lenovo IdeaPad Gaming 3 15ACH6 R5-5500H 8GB 512GB RTX2050 4GB FHD IPS;Rp9.899.000;Jakarta Pusat;ZX'computer;;
Asus ROG Zephyrus GA401QC R935B6GO Ryzen 9 5900HS 8GB 512ssd RTX3050 4;Rp18.999.000;Jakarta Utara;Deca Computer;5.0;1 terjual
Lenovo IdeaPad 1 14AMN7 | Ryzen 3 7320U 8GB 512GB SSD RADEON 610M;Rp5.899.000;Yogyakarta;AGRES ID JOGJA;5.0;7 terjual
Lenovo Ideapad Flex 5, #Touchscreen, i5-1135G7, 11Th, Ram 8 /512 Gb;Rp7.000.000;Jakarta Barat;dr.com komputer;5.0;1 terjual
Lenovo LOQ Gaming Ryzen 5 8645HS RTX4050 512GB SSD 8GB 144Hz IPS Win11;Rp15.699.000;Jakarta Barat;Sinarmulia Sukses Makmur;5.0;8 terjual
"LENOVO IdeaPad Slim 3 14IAU7 i3-1215U 256GB 14"" FHD Intel UHD W11 OHS";Rp6.099.000;Jakarta Pusat;Lenovo Legion Official;4.7;30+ terjual
ACER Predator Helios Neo 16 PHN16-72 i9-14900HX RTX4060 1TB 165Hz W11;Rp28.299.000;Jakarta Pusat;Protech Computer;5.0;1 terjual
Lenovo Ideapad Slim 5i Intel Ultra 5 125H 512GB SSD 16GB OLED Win11;Rp12.899.000;Jakarta Barat;Lenovo Authorized Jakarta Barat;5.0;2 terjual
Lenovo Ideapad Slim 5 16 Touch i7 1355 16Gb 512Gb W11 16.0Fhd Ips;Rp9.899.000;Jakarta Utara;Gaming Laptop ID;5.0;4 terjual
Laptop Acer Nitro V ANV15 51 542G – Core i5 13420H-8GB-SSD 512GB-RTX;Rp11.138.000;Kab. Sleman;Aizza Computer Official;;
"ACER Nitro V 15 ANV15-51-542G i5 13420H 8GB 512GB RT2050 15,6""FHD IPS";Rp11.250.000;Malang;kharismakencana;;
Lenovo Gaming LOQ 9LiD Ryzen 5 7640HS|8GB|512GB|RTX3050|Win 11+Office;Rp12.900.000;Jakarta Pusat;ABtech;;
ASUS ROG ZEPHYRUS G14 GA402RJ RYZEN 9 6900HS RX6700S 8GB/ 16GB 512GB ;Rp21.200.000;Jakarta Pusat;Citycom Harco;;
Lenovo Ideapad Gaming 3-7FID /AMD Ryzen 5-5500H/8GB/512GB SSD/RTX2050 4GB/15.6″ FHD 144Hz/Win 11 Home+OHS 2021/Shadow Black;Rp11.300.000;Jakarta Pusat;Toko Laptop shopp;;
ASUS TUF F15 GAMING FX507ZC4-I535B1M-O RTX3050 i5 12500H 8GB 512GB RAM;Rp13.268.000;Malang;GASOL;;
Lenovo Gaming LOQ 9LiD Ryzen 5 7640HS|8GB|512GB|RTX3050|Win 11+Office;Rp12.900.000;Jakarta Pusat;YouTech;;
ASUS TUF GAMING F15 RTX 2050 8/512GB Second Bekas;Rp11.050.000;Makassar;HPKITA;;
Acer Nitro V15 i5-13420H/8GB/512GB/W/O/V/5115;Rp15.445.000;Padang;JBros Computer Padang-Sumbar;;
Lenovo Legion 81FW Core i5 Gen 8th RAM 8GB SSD 512GB NVIDIA GeForce GT;Rp7.650.000;Jakarta Pusat;computer center 2;;
"LENOVO LEGION 5 RTX4060 | RYZEN 7 7735HS 32GB 1TBSSD W11 15.6"" 165Hz";Rp18.199.000;Jakarta Utara;Top Tech;4.9;27 terjual
Laptop Baru  AMD RYZEN 7 7730U 16GB 1TB SSD HP 14 INCI TOUCHSCREEN UNTUK AUTOCAD SOLIDWORK DAN GAME RINGAN;Rp8.800.000;Jakarta Pusat;RumahNotebook;;
ASUS ROG ZEPHYRUS G15 GA503RM RYZEN 9 6900HS 24GB 1TBSSD RTX3060 165Hz;Rp17.399.000;Jakarta Utara;Top Tech;4.8;16 terjual
Lenovo Ideapad Slim 5 16 Touch Core i7 1355 16GB 512GB W11 16.0FHD IPS;Rp10.099.000;Jakarta Utara;EnVicStore;5.0;16 terjual
"ACER NITRO 5 AN515-58 i5-12500H 16GB 512GB RTX3050 4GB 15.6"" OHS W11";Rp12.089.000;Jakarta Pusat;Protech Computer;4.9;100+ terjual
Acer NITRO V ANV15-51-542G i5-13420H RTX 2050 8GB 512GB SSD WOHS;Rp11.499.000;Yogyakarta;Computa Official;5.0;1 terjual
"ACER LAPTOP NITRO V 15 ANV15 51 15.6"" I5 13420H 8GB 512GB RTX 4050";Rp14.899.000;Semarang;KLA Computer;;
Laptop Gaming ACER Aspire 3 A315-44P-R9GQ Ryzen 7-5700U 8GB 512GB;Rp6.497.000;Jakarta Pusat;RatnaJuwita82;;
Laptop HP 14 AM i5 gen 7 dual VGA Gaming Ram 16gb SSD 512gb siap pakai;Rp3.500.000;Tangerang Selatan;JT - KOMPUTER;;
"IDEAPAD GAMING 3-15ACH6 RYZEN 7-5800H RAM 8GB SSD 512GB RTX 3050
";Rp11.150.000;Surabaya;Brahmasta comp;;
LAPTOP ASUS TUF GAMING FX507Z I7-12700h RAM 8GB NVME 512GB RTX3050;Rp15.000.000;Depok;SUPERNOVA COMPUTER DEPOK KELAPA DUA;;
Lenovo IdeaPad Flex 5-14ALC05-JAID Ryzen 5 5500U 8GB 512GB SSD W11HSL;Rp11.600.000;Jakarta Pusat;Intech Nusa Solusi;5.0;3 terjual
"Laptop gaming Acer a315-r9gq ryzen 7 ram 16gb ssd 512gb 15.6"" fhd";Rp6.557.290;Jakarta Pusat;KotakomShop;;
ACER Nitro V15 ANV15-51-542G Core i5-13420H, 512GB SSD, 8GB RAM, RTX;Rp9.677.000;Kab. Tangerang;DEVANI STEAFANY;;
asus tuf gaming f15 fx506hf/intel core i5 11400h/vga rtx 2050 4gb/ram 8gb/ssd 512gb/key backlit rgb;Rp8.200.000;Bandung;abadi comm;;
ASUS TUF GAMING F15 FX506LH-I565B6T i5-10300H 8GB 512GB GTX1650 W10;Rp10.850.000;Medan;MJC gaharu;5.0;2 terjual
Acer Predator Triton Intel core i7 9750H gtx1650 8gb 512gb RGB 144hz;Rp7.800.000;Bandung;LaptoVedia;;
Laptop Gaming Acer Aspire Slim A314-42P-R8PQ RYZEN 7-5700U 8GB 512GB;Rp6.390.000;Jakarta Pusat;RatnaJuwita82;;
ASUS TUF GAMING F15 FX506HF-I725B6T-O CI7-11800H/8GB/512GB/RTX2050;Rp9.757.000;Malang;MayaShop78;;
Laptop ASUS TUF GAMING FX505DD AMD Ryzen 5-3550H 8GB 512GB+1TB;Rp7.350.000;Bandung;StoryLaptop Bandung;;
Laptop Acer Nitro 5 AN515-55 Intel Core i5-10300H RAM 8GB SSD 512GB NV;Rp9.000.000;Kab. Sleman;SUPER LAPTOP JOGJA;;
ACER NITRO 5 15 AN515 I5 12500H RTX3050 4GB/ 8GB 512GB W11+OHS 15.6FHD;Rp12.000.000;Surabaya;LAPTOP STORE SURABAYA;;
Lenovo Gaming LOQ 8HiD i5-13420H|8GB|512GB|RTX 4050|Win 11 Home+Office;Rp15.200.000;Jakarta Pusat;ABtech;;
"Acer Nitro V 15 ANV15 51 542G i5 13420H 8GB 512GB SSD 15.6"" Win11+OHS";Rp11.619.200;Surakarta;Acer Store Demangan;;
ACER Nitro V 15 ANV15 51 5115 RTX4050 i5 13420H 8/512GB SSD FHD 144Hz;Rp15.111.000;Jakarta Pusat;computer center 2;;
MSI CYBORG 15 A13VEK 872ID RTX4050 Intel Core i5 13420H 512GB SSD 8GB RAM Gaming Notebook Laptop;Rp14.849.000;Malang;Gasol Kaliurang;;
"Lenovo LOQ Gaming i7-13650HX RTX 3050 6GB 8GB 512GB SSD 15.6"" FHD Win11Home + OHS 2021";Rp16.499.000;Jakarta Pusat;theidea_premium;;
ASUS ROG G513iH R7 4800H 8GB 512GB SSD GTX1650 W10 OFFICE;Rp16.897.000;Jakarta Utara;OrKa;5.0;4 terjual
Lenovo Gaming LOQ 3CiD Ryzen 5 7640HS|8GB|512GB SSD| RTX4050|Win11+OHS;Rp14.950.000;Jakarta Pusat;YouTech;;
ASUS ROG STRIX G5131IH RYZEN 7-4800H 8GB 512GB GTX1650 4G 144Hz W10 OH;Rp15.390.000;Jakarta Barat;Sabana Fam;5.0;2 terjual
ACER Nitro V 15 ANV15 51 542G RTX2050 i5 13420H 8/512GB SSD FHD 144Hz ;Rp11.418.000;Jakarta Pusat;computer center 2;;
Lenovo IDEAPAD GAMING 3 15ACH6 7FID AMD Ryzen 5 5500H 8/512GB RTX 2050;Rp10.999.000;Yogyakarta;Computa Official;;
HP VICTUS 15 RTX 2050 Intel Core i5 12450H 8GB 512GB Win 11 OHS 2021 Laptop Gaming;Rp10.699.000;Semarang;Limitless Computer;;
ACER PREDATOR HELIOS NEO 16 - 71 - 55MQ - I5 13500HX 8GB 512GB RTX4050;Rp16.999.000;Jakarta Selatan;UC.Technology;;
LENOVO IDEAPAD SLIM 3 14AMN RYZEN 3 7320U 8GB LPDDR5 512GB W11 OHS21;Rp5.839.000;Jakarta Pusat;Trust IT Store;;
ASUS TUF GAMING F15 FX507ZC4 I5 12500H RTX3050 8GB 512GB W11+OHS 15.6 FHD;Rp12.439.000;Jakarta Utara;LAPTOP MURAH MURAH;5.0;1 terjual
 Lenovo LOQ 15 GAMING INTEL I5 12450H 8GB DDR5 512GB RTX3050-6GB 144HZ;Rp11.999.000;Jakarta Pusat;Evolutionlaptop;;
"Lenovo Ideapad Gaming 3-7FID Ryzen 5 5500H 8GB 512GB RTX2050 4GB 15.6"" FHD IPS 144Hz";Rp10.249.000;Semarang;StarComp Semarang;;1 terjual
LENOVO IDEAPAD S340 AMD RYZEN 5-3500U 8GB 512GB VEGA 8;Rp9.289.000;Jakarta Utara;OrKa;;1 terjual
ASUS TUF Gaming A15 FA506NC-R535B6T-O Ryzen 5 7535HS 8GB 512GB RTX3050;Rp12.349.000;Semarang;TSP Tech;;
Lenovo Ideapad Slim 3 Core i3 1215U 8GB 512SSD  FHD 14 Inch Win 11 OHS;Rp6.099.000;Jakarta Utara;Thinkpad Official Store;4.9;100+ terjual
"LENOVO LOQ GAMING 15IRX9 i5-13450HX 16GB 512GB RTX4050 15.6"" OHS W11";Rp16.299.000;Jakarta Pusat;Protech Computer;5.0;16 terjual
razer blade stealth rz09 core i7 7500 ram 16gb ssd 1TB TOUCH 4K;Rp8.500.000;Jakarta Pusat;Mr Hanzo;;1 terjual
"Lenovo IdeaPad Slim 3i 14IAH8 Core i5-12450H 8GB 512GB Intel UHD 14""";Rp9.098.979;Jakarta Pusat;TeknoTrend;5.0;9 terjual
Lenovo LOQ Gaming i5-12450HX 512GB SSD 8GB 100%sRGB 144Hz ARC A530M;Rp11.999.000;Tangerang;Lenovo Authorized Tangerang;5.0;3 terjual
Laptop Lenovo Thinkpad T480 MULUS|Core i5 GEN 8 |RAM 8/16GB |SSD 256GB - T480 i5 GEN7, RAM8GB SSD256;Rp2.700.000;;;5.0;80+ terjual
"Laptop Lenovo Thinkpad X240 Core i3/i5/i7 Gen 4|8/256GB|12,5""|Murah - x240 i5 GEN 4, RAM4GB SSD128";Rp1.600.000;;;4.9;70+ terjual
"Laptop Lenovo Yoga X390 Core i7 GEN 8|13,3""|RAM 16GB|SSD 256GB|MULUS - x390 i5GEN8, RAM16GB SSD128";Rp4.100.000;;;3.7;4 terjual
Laptop LENOVO IDEAPAD SLIM 1 15 RYZEN 3 7320 4GB 256GB W11 15.6FHD IPS;Rp4.599.000;Jakarta Utara;Gaming Laptop ID;5.0;6 terjual
Lenovo LOQ Gaming i5-12450HX 512GB SSD 8GB 100%sRGB 144Hz ARC A530M;Rp11.999.000;Tangerang;Lenovo Authorized Tangerang;5.0;3 terjual
"Lenovo IdeaPad Slim 3i 14IAH8 Core i5-12450H 8GB 512GB Intel UHD 14""";Rp9.098.979;Jakarta Pusat;TeknoTrend;5.0;9 terjual
