nama;harga;lokasi;toko;rating;terjual
LENOVO LOQ Gaming 15 i7 13650 RTX3050 16GB 512GB W11+OHS 15” FHD ;Rp15.399.000;Jakarta Utara;LAPTOP SHOP ID;;
Acer Predator Helios Neo16 PHN16-71-55MQ CI5-13500HX/8GB/512GB/RTX4050;Rp16.549.000;Jakarta Utara;IT Galeri Mall of Indonesia;;
LENOVO LOQ Gaming 5AHP9 83DX0037ID Ryzen 5 8645HS 8GB 512GB 4050 W11 ;Rp15.900.000;Denpasar;Blessing Computer Bali;;1 terjual
ACER LAPTOP NITRO V15 ANV15 542G Intel I5-13420h 8GB 512GB RTX 2050;Rp10.919.000;Yogyakarta;ALYOSHA JOGJATRONIK;;
Lenovo Ideapad Gaming 3 15 R5 5500H RTX2050 8Gb 512Gb 15.6FHD 144Hz;Rp9.799.000;Bandung;Agres ID Bandung;4.8;7 terjual
Asus ROG Strix PC G13CH i7-13700F 16GB SSD 512GB RTX3050 8GB W11;Rp19.599.000;Jakarta Pusat;Collins Official;5.0;8 terjual
ACER NITRO 5 AN515 52BQ - I5 11400H 8GB 512SSD RTX3050 4GB W11 OHS;Rp12.999.000;Jakarta Pusat;ANUGERAH DIGITAL LESTARI;;
"Lenovo Ideapad Slim 3 Core i5 12450H 8GB 512SSD Win 11 OHS 14"" FHD IPS";Rp8.179.000;Jakarta Utara;Thinkpad Official Store;5.0;40+ terjual
Lenovo Ideapad Slim 3 Core i5-12450H 16GB 1TBSSD W11 15.6FHD;Rp7.899.000;Jakarta Utara;Top Tech;5.0;28 terjual
Lenovo Ideapad Slim 3 14 Ryzen 5 8GB 512SSD W11+OHS 14.0FHD IPS 2 YR;Rp8.199.000;Jakarta Pusat;Lenovo Legion Official;4.7;30+ terjual
Lenovo Legion T5 26IRB8 Core i7-13700F 16GB 1TB SSD RTX 4070 12GB;Rp37.199.000;Jakarta Pusat;Lenovo Official;;1 terjual
IDEAPAD DUET 3 11IAN8-2XID;Rp8.799.000;Jakarta Pusat;RapidKlik;5.0;3 terjual
Laptop 2nd Lenovo IP Gaming 3 Core i5-9300H Ram 8GB SSD 512GB GTX 1050;Rp6.300.000;Bandung;AzisMM_Store;;
LENOVO LEGION 5 PRO 16 RYZEN 7 5800 RTX3070 8GB 16GB 512GB W11 16.0;Rp17.699.000;Jakarta Utara;Gaming Laptop ID;;
ASUS GAMING TUF A15 FA506NF-R525B3T-O RYZEN 5-7535HS RTX2050 16GB WIN;Rp11.033.000;Surabaya;HotdealComp;5.0;2 terjual
ACER PC Nitro 50 N50-640 i7-12700 16GB 512GB SSD RTX3050 8GB W11+OHS21;Rp21.499.000;Jakarta Pusat;KBM 24 STORE;;
ASUS ROG STRIX G531GU-I766G9T i7-9750H 8GB 512GB GTX1660Ti 6GB 120HZ;Rp18.499.000;Jakarta Barat;Gallerygadget;5.0;1 terjual
Laptop MSI GAMING GF63 Intel Core i5-11400H 8GB SSD 512GB RTX 3050;Rp8.750.000;Bandung;StoryLaptop Bandung;;
Lenovo LOQ 15 Gaming Ryzen 5 7640HS RTX3050 6GB 8GB 512GB W11 -9LID - ;Rp13.198.000;Jakarta Pusat;TIST Online;5.0;1 terjual
ACER NITRO V 15 I5 13420H RTX2050 8GB 512GB SSD W11+OHS 15.6FHD 144HZ;Rp10.999.000;Medan;Agres ID Medan;;
Lenovo LOQ Gaming Ryzen 7 8845HS RTX4050 512GB SSD 8GB 144Hz IPS Win11;Rp17.199.000;Jakarta Barat;Sinarmulia Sukses Makmur;5.0;3 terjual
 ASUS ROG ALLY RYZEN Z1 16GB 512GB  7.0FHD IPS LED WHITE;Rp8.499.000;Jakarta Pusat;LAPTOP GADGET ID;;
ASUS ROG GL504GV # i7/8GB/512GB/RTX2060 6GB MANTAP !!;Rp21.848.000;Jakarta Utara;OrKa;5.0;4 terjual
Lenovo IdeaPad Gaming 3 15ARH7 RTX4050 | Ryzen 7 7735HS 8GB 512ssd W11;Rp15.099.000;Yogyakarta;AGRES ID JOGJA;5.0;2 terjual
Laptop Asus TUF Gaming F15 FX506LH Core i7-10870H 8/512Gb GARANSI 2024;Rp10.000.000;Jakarta Barat;BURSA_LAPTOP_EFEK;;
Lenovo IdeaPad Gaming 3 15ACH6 Ryzen 7 5800H 8GB 512GB W11 OHS 3050Ti;Rp14.100.000;Cirebon;Lenovo Authorized Cirebon;5.0;1 terjual
"LENOVO IDEAPAD 3-14IAU7 i3-1215U 8GB 512GB Intel UHD 14"" FHD OHS W11";Rp6.099.000;Jakarta Pusat;Protech Computer;4.9;100+ terjual
