nama;harga;lokasi;toko;rating;terjual
ACER NITRO V 15 I5 13420H RTX2050 8GB 512GB 15.6FHD 144HZ IPS;Rp10.649.000;Bandung;Agres ID Bandung;5.0;11 terjual
Lenovo LOQ 15 Gaming i7-13620H 16GB 512 SSD W11 OHS RTX4050 6GB 165Hz;Rp16.899.000;Jakarta Utara;Gateway Indonesia Comp;5.0;3 terjual
Lenovo Ideapad Slim 5 16 Touch Core i7 1355 16GB 512GB W11 16.0FHD IPS;Rp10.099.000;Jakarta Utara;EnVicStore;5.0;20 terjual
"Asus Rog Flow X16 GV601VV Touch RTX4060 i9 13900 32GB 1TB W11 PRO 16"" QHD IPS";Rp28.989.000;Jakarta Utara;ALIENWARE GAMING STORE;5.0;10 terjual
"Lenovo Ideapad Slim 1 Ryzen 3 7320 8GB 256GB Radeon 610M W11+OHS 14""";Rp5.899.000;Jakarta Pusat;Lenovo Legion Official;5.0;100+ terjual
THINKPAD GAMING T495 AMD RYZEN 5 PRO 3500U/ 16GB RAM / 512GB SSD/FHD - 8GB RAM, 128 gb;Rp4.450.000;Bogor;Nengdaraspeed;5.0;14 terjual
"LENOVO IdeaPad Slim 5 14IMH9 Ultra 5-125H 16GB 512GB 14"" WUXGA W11 OHS";Rp13.250.000;Jakarta Pusat;Collins Official;5.0;27 terjual
LENOVO LOQ GAMING 15IAX9I 2HID GREY CORE i5-12450HX ARC A530M 8GB 512G;Rp11.438.000;Surabaya;Lenovo Authorized Store Surabaya;5.0;8 terjual
Lenovo Ideapad Slim 3 Core i3 1215U 8GB 512SSD  FHD 14 Inch Win 11 OHS;Rp6.349.000;Jakarta Utara;Thinkpad Official Store;4.9;100+ terjual
Lenovo Ideapad Slim 5i Intel Ultra 5 125H 512GB SSD 16GB OLED Win11;Rp12.899.000;Jakarta Barat;Lenovo Authorized Jakarta Barat;5.0;2 terjual
Lenovo IdeaPad Slim 5 Light 14ABR8 Ryzen 7 7730U 8GB 512GB W11 OHS;Rp9.999.000;Jakarta Pusat;Lenovo Official;5.0;8 terjual
"LENOVO LOQ GAMING 15IRX9 i7-13650HX 512GB RTX3050 6GB 15.6"" OHS W11";Rp15.699.000;Jakarta Pusat;Protech Computer;5.0;11 terjual
Acer Predator Helios Neo 16 PHN16-71-779Q NH.QLTSN.003 - i7-13700HX;Rp19.499.000;Tangerang Selatan;Acer Authorized Store Tangerang;5.0;2 terjual
ASUS ROG ZEPHYRUS DUO GX650RM RTX3060 6GB RYZEN 7 6800 16GB 1TBSSD;Rp22.499.000;Jakarta Utara;Deca Computer;5.0;1 terjual
Laptop HP Victus Gaming 15 RTX2050 Ryzen 5-7535 16GB 1TB SSD FHD IPS;Rp9.749.000;Jakarta Utara;Gateway Indonesia Comp;5.0;16 terjual
Lenovo Legion 5 PRO RTX4060 8GB - Ryzen 7 7745HX 32GB 1TB W11 16QHD;Rp20.099.000;Jakarta Utara;Top Tech;5.0;16 terjual
THINKPAD L14 G2 i5-1135G7 INTEL IRISH/RAM32GB/SSD1TB NVME/GAMING FHD;Rp5.900.000;Bogor;ARISPEED INSTAGRAM;4.0;2 terjual
Lenovo Thinkpad A485 AMDRyzen 7PRO RAM16SSD256GB|GAMING DESIGN-Ryzen 5;Rp2.950.000;Jakarta Pusat;JURAGAN IDN;3.0;3 terjual
Lenovo Ideapad Slim 3 14 i5 12450H 8GB 512SSD W11+OHS 14.0FHD IPS Blit;Rp8.179.000;Jakarta Utara;Lenovo Yoga Official;4.9;25 terjual
"Lenovo Ideapad Slim 3 Core i5 12450H 8GB 512SSD Win 11 OHS 14"" FHD IPS";Rp8.179.000;Jakarta Utara;Thinkpad Official Store;5.0;70+ terjual
ADVAN Laptop Gaming Pixelwar AMD RYZEN 5 6600H 16” 2.5K IPS 16GB 512GB;Rp9.999.000;Kab. Tangerang;Advan Official Store;4.9;30+ terjual
DELL GAMING G16 7620 i7 12700 RTX3060 6GB/ 16GB 512GB W11 16.0QHD IPS ;Rp15.199.000;Jakarta Utara;Gaming Laptop ID;5.0;2 terjual
ACER NITRO V15 ANV15-51-5115 NH.QN8SN.001 GeForce RTX™ 4050 - i5-13420;Rp14.849.000;Tangerang Selatan;IT Galeri;5.0;1 terjual
ACER Nitro V 15 ANV15 51 901S RTX4060 i9 13900H 16/512SSD FHD 144Hz;Rp18.699.000;Jakarta Utara;Acer Authorized Store Jakarta;5.0;30+ terjual
Lenovo LOQ Gaming i5-12450HX 512GB SSD 8GB 100%sRGB 144Hz ARC A530M;Rp11.199.000;Jakarta Barat;Sinarmulia Sukses Makmur;5.0;10 terjual
Lenovo IdeaPad Gaming 3 15ARH7 I RTX4050 6GB RYZEN 5 7535HS 8GB 512SSD;Rp13.999.000;Yogyakarta;Lenovo Authorized Yogyakarta Selatan;5.0;18 terjual
LAPTOP DESAIN N GAMING ! DELL 7280 CORE i5 GEN 6 8GB/256GB SSD WIN10;Rp2.500.000;Jakarta Barat;US_ELECTRONIC;5.0;11 terjual
"Asus ROG Ally Portable Gaming AMD Z1 Extreme 512GB SSD 7.0"" FHD 120Hz";Rp9.999.000;Jakarta Pusat;Studio Ponsel;5.0;70+ terjual
